,Año,Semana,Finca,Cajas,Bolsas,Cajas por Hectarea
293,2023,28,Uveros,34,21.72,4.25
294,2023,29,Damaquiel,30,21.24,2.2288261515601784
295,2023,29,Pedrito,72,61.028,1.7241379310344829
296,2023,29,San Pedro,166,69.08,4.096742349457058
297,2023,29,Uveros,35,23.84,4.375
298,2023,30,Damaquiel,39,24.88,2.8974739970282317
299,2023,30,Pedrito,94,91.4,2.2509578544061304
300,2023,30,San Pedro,177,40.52,4.368213228035537
301,2023,31,Pedrito,104,55.066,2.4904214559386975
302,2023,31,San Pedro,201,36.6344,4.960513326752221
303,2023,31,Uveros,55,51.254,6.875
304,2023,32,Damaquiel,18,36.24,1.337295690936107
305,2023,32,Pedrito,201,60.8,4.813218390804598
306,2023,32,San Pedro,230,44.08,5.676209279368212
307,2023,32,Uveros,4,9.52,0.5
308,2023,33,Damaquiel,50,75.36,3.714710252600297
309,2023,33,Pedrito,176,48.12,4.21455938697318
310,2023,33,San Pedro,272,34.44,6.712734452122408
311,2023,33,Uveros,8,7.48,1.0
312,2023,34,Damaquiel,9,0,0.6686478454680534
313,2023,34,Pedrito,148,63.36,3.5440613026819925
314,2023,34,San Pedro,343,57.04,8.464955577492596
315,2023,34,Uveros,14,15.36,1.75
316,2023,35,Damaquiel,10,106.64,0.7429420505200593
317,2023,35,Pedrito,150,102.64,3.591954022988506
318,2023,35,San Pedro,368,57.76,9.08193484698914
319,2023,35,Uveros,43,50.68,5.375
320,2023,36,Damaquiel,11,50.48,0.8172362555720654
321,2023,36,Pedrito,118,134.8,2.8256704980842913
322,2023,36,San Pedro,308,61.4,7.601184600197433
323,2023,36,Uveros,20,0,2.5
324,2023,37,Damaquiel,11,37.12,0.8172362555720654
325,2023,37,Pedrito,101,70.32,2.4185823754789273
326,2023,37,San Pedro,382,80.4,9.427443237907207
327,2023,37,Uveros,11,42.44,1.375
328,2023,38,Damaquiel,10,0,0.7429420505200593
329,2023,38,Pedrito,80,84.08840000000001,1.9157088122605366
330,2023,38,San Pedro,348,70.094,8.588351431391905
331,2023,38,Uveros,17,0,2.125
332,2023,39,Damaquiel,5,58.12,0.3714710252600297
333,2023,39,Pedrito,97,81.6,2.3227969348659006
334,2023,39,San Pedro,431,72.6,10.636722606120435
335,2023,39,Uveros,7,41.76,0.875
336,2023,40,Damaquiel,19,38.4,1.4115898959881128
